,WikiPageName,Party,State,TwitterHandle
0,John_Conyers,Democratic,Michigan,RepJohnDuncanJr
1,Don_Young,Republican,Alaska,repdonyoung
2,Jim_Sensenbrenner,Republican,Wisconsin,JimPressOffice
3,Hal_Rogers,Republican,Kentucky,RepOHalleran
4,Chris_Smith_(New_Jersey_politician),Republican,New Jersey,RepChrisSmith
5,Steny_Hoyer,Democratic,Maryland,WhipHoyer
6,Marcy_Kaptur,Democratic,Ohio,RepMarcyKaptur
7,Sander_Levin,Democratic,Michigan,repsandylevin
8,Joe_Barton,Republican,Texas,RepJoeBarton
9,Pete_Visclosky,Democratic,Indiana,RepVisclosky
10,Peter_DeFazio,Democratic,Oregon,RepPeterDeFazio
11,John_Lewis_(civil_rights_leader),Democratic,Georgia,RepJohnConyers
12,Louise_Slaughter,Democratic,New York,louiseslaughter
13,Lamar_Smith,Republican,Texas,LamarSmithTX21
14,Fred_Upton,Republican,Michigan,RepFredUpton
15,Nancy_Pelosi,Democratic,California,NancyPelosi
16,Jimmy_Duncan_(politician),Republican,Tennessee,N/A
17,Frank_Pallone,Democratic,New Jersey,RepFrankLucas
18,Eliot_Engel,Democratic,New York,RepEliotEngel
19,Nita_Lowey,Democratic,New York,NitaLowey
20,Richard_Neal,Democratic,Massachusetts,RepRichardNeal
21,Dana_Rohrabacher,Republican,California,DanaRohrabacher
22,Ileana_Ros-Lehtinen,Republican,Florida,RosLehtinen
23,José_E._Serrano,Democratic,New York,RepJoseSerrano
24,David_Price_(American_politician),Democratic,North Carolina,RepDavidEPrice
25,Rosa_DeLauro,Democratic,Connecticut,rosadelauro
26,Collin_Peterson,Democratic,Minnesota,N/A
27,Maxine_Waters,Democratic,California,RepMaxineWaters
28,Sam_Johnson,Republican,Texas,SamsPressShop
29,Jerrold_Nadler,Democratic,New York,RepJerryNadler
30,Jim_Cooper,Democratic,Tennessee,repjimcooper
31,Xavier_Becerra,Democratic,California,N/A
32,Sanford_Bishop,Democratic,Georgia,RepSanfordSC
33,Ken_Calvert,Republican,California,RepKenMarchant
34,Jim_Clyburn,Democratic,South Carolina,JimLangevin
35,Anna_Eshoo,Democratic,California,RepAnnaEshoo
36,Bob_Goodlatte,Republican,Virginia,RepGoodlatte
37,Gene_Green,Democratic,Texas,RepAlGreen
38,Luis_Gutiérrez,Democratic,Illinois,RepGutierrez
39,Alcee_Hastings,Democratic,Florida,RepHastingsFL
40,Eddie_Bernice_Johnson,Democratic,Texas,N/A
41,Peter_T._King,Republican,New York,PeterRoskam
42,Carolyn_Maloney,Democratic,New York,RepMaloney
43,Lucille_Roybal-Allard,Democratic,California,N/A
44,Ed_Royce,Republican,California,RepEdRoyce
45,Bobby_Rush,Democratic,Illinois,RepBobbyRush
46,Bobby_Scott_(politician),Democratic,Virginia,BobbyScott
47,Nydia_Velázquez,Democratic,New York,NydiaVelazquez
48,Bennie_Thompson,Democratic,Mississippi,BennieGThompson
49,Frank_Lucas_(Oklahoma_politician),Republican,Oklahoma,FrankDLucas
50,Lloyd_Doggett,Democratic,Texas,RepLloydDoggett
51,Michael_F._Doyle,Democratic,Pennsylvania,michaelcburgess
52,Rodney_Frelinghuysen,Republican,New Jersey,N/A
53,Sheila_Jackson_Lee,Democratic,Texas,JacksonLeeTX18
54,Walter_B._Jones_Jr.,Republican,North Carolina,RepWalterJones
55,Frank_LoBiondo,Republican,New Jersey,RepLoBiondo
56,Zoe_Lofgren,Democratic,California,RepZoeLofgren
57,Mac_Thornberry,Republican,Texas,MacTXPress
58,Elijah_Cummings,Democratic,Maryland,RepCummings
59,Earl_Blumenauer,Democratic,Oregon,repblumenauer
60,Robert_Aderholt,Republican,Alabama,Robert_Aderholt
61,Kevin_Brady,Republican,Texas,RepKevinBrady
